address,Year_built,Beds,Baths,Sqft,Lotsize,Price,Link
"
2010 N 24TH Street,
    
Phoenix,

Maricopa County,

AZ
85006",1927,4,1,952,0.138 Ac,"
                $299,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Encanto-Village/2010-N-24TH-Street/109756815.html
"
4080 S MINGUS Drive,
    
Chandler,

Maricopa County,

AZ
85249",6269428,3,2,"2,363","Spanish, Spanish","
                $699,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Chandler/Sun-Groves/4080-S-MINGUS-Drive/109759352.html
"
3000 W Sahuaro Divide,
    
Tortolita,

Pima County,

AZ
85742",22119251,4,2,"2,098","Ranch, Ranch","
                $765,999 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Tortolita/3000-W-Sahuaro-Divide/109776877.html
"
11433 N 43RD Street,
    
Phoenix,

Maricopa County,

AZ
85028",6267522,3,2,"2,141","Spanish, Spanish","
                $719,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Phoenix/Paradise-Valley-Village/11433-N-43RD-Street/109759231.html
"
2726 E Sourwood Drive,
    
Gilbert,

Maricopa County,

AZ
85298",6270501,4,2,"2,109","Ranch, Ranch, Spanish","
                $588,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Gilbert/Freeman-Farms/2726-E-Sourwood-Drive/109759168.html
"
95 S Corral Circle,
    
Cottonwood,

Yavapai County,

AZ
86326",526202,3,2,"2,149","Contemporary, Contemporary, Ranch, Southwest","
                $492,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Yavapai-County/Cottonwood/95-S-Corral-Circle/105251806.html
"
2108 Del Rey Drive,
    
Bullhead City,

Mohave County,

AZ
86442",1,1,1,420,984536,"
                $50,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Bullhead-City/2108-Del-Rey-Drive/109752124.html
"
1717 E Lindrick Drive,
    
Chandler,

Maricopa County,

AZ
85249",1998,2,2,"1,017",0.068 Ac,"
                $320,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Chandler/Springfield/1717-E-Lindrick-Drive/109756907.html
"
855 W HEATHER Avenue,
    
Gilbert,

Maricopa County,

AZ
85233",6257426,3,2,"2,422","Ranch, Ranch","
                $550,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Gilbert/El-Dorado-Lakes/855-W-HEATHER-Avenue/109757014.html
"
18468 W WESTERN STAR Boulevard,
    
Goodyear,

Maricopa County,

AZ
85338",6270236,3,2,"1,973","Ranch, Ranch","
                $495,000 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Goodyear/Estrella/18468-W-WESTERN-STAR-Boulevard/109756970.html
"
7030 E Potawatami Drive,
    
Catalina Foothills,

Pima County,

AZ
85715",22114463,5,3,"2,902","Ranch, Ranch","
                $679,900 USD
            ",https://www.point2homes.com/US/Home-For-Sale/AZ/Baja-Arizona/Coronado/7030-E-Potawatami-Drive/107369874.html
